user_nick,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI
midea-rsq2,燃热-意向-行业30日浏览未购买,新标签人群,无线,京东直投,,,472126,5079,1.08%,10922.62,23.13,2.15,207,262523.65,4.08%,24.03
midea-rsq2,电热-意向-行业30日浏览未购买,新标签人群,无线,京东直投,,,451129,2495,0.55%,7325.73,16.24,2.94,48,44671.15,1.92%,6.1
midea-rsq2,【新】净水-浏览2500-4500竞品价位段,新标签人群,无线,京东直投,,,396928,3784,0.95%,14331.91,36.11,3.79,60,81480.75,1.59%,5.69
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,388775,2589,0.67%,4483.92,11.53,1.73,8,9492,0.31%,2.12
midea-rsq2,【新】电热-30天未浏览美的,新标签人群,无线,京东直投,,,360239,2528,0.70%,6831.14,18.96,2.7,23,20256.1,0.91%,2.97
midea-rsq2,净水-意向-行业30日浏览未购买,新标签人群,无线,京东直投,,,348708,2710,0.78%,6362.92,18.25,2.35,81,144913.5,2.99%,22.77
midea-rsq2,燃热-意向-行业30日浏览未购买,新标签人群,无线,京东直投,,,308892,2428,0.79%,5632.87,18.24,2.32,108,136691,4.45%,24.27
midea-rsq2,【新】净水-美的浏览,新标签人群,无线,京东直投,,,298041,3346,1.12%,12479.52,41.87,3.73,120,145602,3.59%,11.67
midea-rsq2,燃热-意向-行业30日浏览未购买,新标签人群,无线,京东直投,,,292568,2814,0.96%,6992.53,23.9,2.48,101,134034,3.59%,19.17
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,267723,711,0.27%,1151.31,4.3,1.62,-,-,-,-
midea-rsq2,【新】电热-美的浏览,新标签人群,无线,京东直投,,,247343,3104,1.25%,10666.63,43.12,3.44,191,186572,6.15%,17.49
midea-rsq2,电热-意向-行业30日浏览未购买,新标签人群,无线,京东直投,,,220249,1147,0.52%,2298.91,10.44,2,80,82094,6.97%,35.71
midea-rsq2,【新】燃热-30天未浏览美的,新标签人群,无线,京东直投,,,210453,723,0.34%,3391.84,16.12,4.69,3,2886,0.41%,0.85
midea-rsq2,九数618_燃热_类目_高分_无品牌倾向_0619,外部导入人群,无线,京东直投,,,208464,1008,0.48%,5076.8,24.35,5.04,4,4615,0.40%,0.91
midea-rsq2,电热-意向-行业30日浏览未购买,新标签人群,无线,京东直投,,,195291,686,0.35%,3234.57,16.56,4.72,12,13857,1.75%,4.28
midea-rsq2,【新】净水-浏览2500-4500竞品价位段,新标签人群,无线,京东直投,,,185562,1176,0.63%,4420.14,23.82,3.76,3,3205,0.26%,0.73
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,181642,1150,0.63%,2780.25,15.31,2.42,5,1729.75,0.43%,0.62
midea-rsq2,电热-30天竞品浏览人群,新标签人群,无线,京东直投,,,180498,503,0.28%,2425.44,13.44,4.82,-,-,-,-
midea-rsq2,【新】净水-美的浏览,新标签人群,无线,京东直投,,,179566,1264,0.70%,5250.55,29.24,4.15,42,48988.5,3.32%,9.33
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,169738,461,0.27%,630.61,3.72,1.37,3,897,0.65%,1.42
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,166215,1002,0.60%,1481.89,8.92,1.48,5,4544,0.50%,3.07
midea-rsq2,净水-意向-行业30日浏览未购买,新标签人群,无线,京东直投,,,163948,1285,0.78%,927.96,5.66,0.72,3,4195,0.23%,4.52
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,154470,1065,0.69%,1653.39,10.7,1.55,2,1438,0.19%,0.87
midea-rsq2,燃热-高端品牌浏览,新标签人群,无线,京东直投,,,152879,1696,1.11%,5164.36,33.78,3.05,61,97641,3.60%,18.91
midea-rsq2,九数618_燃热_类目_高分_无品牌倾向_0619,外部导入人群,无线,京东直投,,,150571,789,0.52%,4135.85,27.47,5.24,1,849,0.13%,0.21
midea-rsq2,燃热-意向-行业30日浏览未购买,新标签人群,无线,京东直投,,,142012,1816,1.28%,1806.82,12.72,0.99,15,17085,0.83%,9.46
midea-rsq2,燃热-意向-行业30日浏览未购买,新标签人群,无线,京东直投,,,134140,745,0.56%,2164.03,16.13,2.9,23,22029,3.09%,10.18
midea-rsq2,燃热-30天竞品浏览人群,新标签人群,无线,京东直投,,,133257,345,0.26%,1764.38,13.24,5.11,-,-,-,-
midea-rsq2,【新】电热-美的浏览,新标签人群,无线,京东直投,,,131202,1483,1.13%,6347.56,48.38,4.28,36,33733,2.43%,5.31
midea-rsq2,电热-意向-行业30日浏览未购买,新标签人群,无线,京东直投,,,127119,1361,1.07%,3249.62,25.56,2.39,71,67912.6,5.22%,20.9
midea-rsq2,九数618_净水_类目_高分_2k_4k_0615,外部导入人群,无线,京东直投,,,120787,1190,0.99%,3416.28,28.28,2.87,28,35030,2.35%,10.25
midea-rsq2,燃热-意向-行业30日浏览未购买,新标签人群,无线,京东直投,,,117377,321,0.27%,1520.88,12.96,4.74,2,3598,0.62%,2.37
midea-rsq2,九数_618_净水_类目内_高分段_2k_4k_0619,外部导入人群,无线,京东直投,,,116310,770,0.66%,2512.77,21.6,3.26,5,8262,0.65%,3.29
midea-rsq2,电热-浏览2000-3000竞品价位段,新标签人群,无线,京东直投,,,114732,431,0.38%,2145.6,18.7,4.98,8,9231,1.86%,4.3
midea-rsq2,【新】燃热-美的浏览,新标签人群,无线,京东直投,,,111534,1080,0.97%,5017.33,44.98,4.65,17,24271,1.57%,4.84
midea-rsq2,九数618_燃热_类目_高分_无品牌倾向_0619,外部导入人群,无线,京东直投,,,108266,355,0.33%,1826.27,16.87,5.14,-,-,-,-
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,105655,794,0.75%,1922.18,18.19,2.42,15,16646,1.89%,8.66
midea-rsq2,九数618_燃热_类目_高分_无品牌倾向_0616,外部导入人群,无线,京东直投,,,103660,508,0.49%,2291.56,22.11,4.51,5,5295,0.98%,2.31
midea-rsq2,【新】燃热-美的浏览,新标签人群,无线,京东直投,,,102568,1004,0.98%,3781.9,36.87,3.77,30,38988,2.99%,10.31
midea-rsq2,九数_618_净水_类目内_高分段_美的品牌倾向_0619,外部导入人群,无线,京东直投,,,101291,970,0.96%,4446,43.89,4.58,6,4089,0.62%,0.92
midea-rsq2,【新】燃热-美的浏览,新标签人群,无线,京东直投,,,95240,1136,1.19%,3904.75,41,3.44,44,56062,3.87%,14.36
midea-rsq2,九数_618_净水_类目内_高分段_无品牌倾向_0619,外部导入人群,无线,京东直投,,,92843,637,0.69%,2509.57,27.03,3.94,1,999,0.16%,0.4
midea-rsq2,【新】净水-浏览2500-4500竞品价位段,新标签人群,无线,京东直投,,,90038,1239,1.38%,1739.07,19.31,1.4,63,79927,5.08%,45.96
midea-rsq2,饮水-意向-行业30日浏览未购买,新标签人群,无线,京东直投,,,86238,807,0.94%,927.35,10.75,1.15,5,3125,0.62%,3.37
midea-rsq2,九数618_电热_类目_高分_美的品牌倾向_0615,外部导入人群,无线,京东直投,,,84973,1166,1.37%,3206.01,37.73,2.75,133,123353,11.41%,38.48
midea-rsq2,电热-意向-行业30日浏览未购买,新标签人群,无线,京东直投,,,84249,822,0.98%,732.92,8.7,0.89,7,6622,0.85%,9.04
midea-rsq2,【新】燃热-美的浏览,新标签人群,无线,京东直投,,,76468,711,0.93%,2986.35,39.05,4.2,4,7796,0.56%,2.61
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,74807,693,0.93%,1013.97,13.55,1.46,9,8230,1.30%,8.12
midea-rsq2,九数_20190605_饮水机_618跨品_干预组,外部导入人群,无线,京东直投,,,73008,166,0.23%,277.57,3.8,1.67,1,899,0.60%,3.24
midea-rsq2,九数618_电热_类目_高分_2k_2.5k_0615,外部导入人群,无线,京东直投,,,71452,408,0.57%,1105.61,15.47,2.71,6,7764.1,1.47%,7.02
midea-rsq2,九数618_净水_类目_高分_无品牌倾向_0616,外部导入人群,无线,京东直投,,,70303,503,0.72%,2020.29,28.74,4.02,7,11963,1.39%,5.92
midea-rsq2,九数_618_净水_类目内_高分段_2k_4k_0619,外部导入人群,无线,京东直投,,,69450,308,0.44%,995.6,14.34,3.23,-,-,-,-
midea-rsq2,九数_618_燃热_类目内_高分段_3k以上_0610,外部导入人群,无线,京东直投,,,68953,616,0.89%,1970.59,28.58,3.2,21,45913.65,3.41%,23.3
midea-rsq2,【新】饮水-1500以上竞品浏览-净饮,新标签人群,无线,京东直投,,,66957,973,1.45%,3546.25,52.96,3.64,17,26680,1.75%,7.52
midea-rsq2,【新】燃热-美的浏览,新标签人群,无线,京东直投,,,66024,446,0.68%,1443.13,21.86,3.24,21,23378,4.71%,16.2
midea-rsq2,九数618_电热_类目_高分_美的品牌倾向_0619,外部导入人群,无线,京东直投,,,65127,565,0.87%,2637.57,40.5,4.67,17,22591,3.01%,8.57
midea-rsq2,九数618_电热_类目_高分_美的品牌倾向_0619,外部导入人群,无线,京东直投,,,64914,550,0.85%,2506.58,38.61,4.56,14,17472,2.55%,6.97
midea-rsq2,【新】净水-浏览2500-4500竞品价位段,新标签人群,无线,京东快车(搜索),净水器-J600_净水器_单投,搜索-APP,64542,10575,16.38%,68665.63,1063.89,6.49,1253,1707360.66,11.85%,24.86
midea-rsq2,【新】饮水-搜索-净饮,新标签人群,无线,京东直投,,,63657,735,1.15%,2535.37,39.83,3.45,3,4685,0.41%,1.85
midea-rsq2,九数618_净水_类目_高分_美的品牌倾向_0615,外部导入人群,无线,京东直投,,,62607,669,1.07%,1764.71,28.19,2.64,47,53604.2,7.03%,30.38
midea-rsq2,九数_20190609_饮水机_618跨品_干预组,外部导入人群,无线,京东直投,,,60777,150,0.25%,227.79,3.75,1.52,4,3274,2.67%,14.37
midea-rsq2,九数618_净水_类目_高分_2k_4k_0615,外部导入人群,无线,京东直投,,,60408,402,0.67%,1173.09,19.42,2.92,6,6322,1.49%,5.39
midea-rsq2,燃热-意向-行业30日浏览未购买,新标签人群,无线,京东直投,,,60240,300,0.50%,827.01,13.73,2.76,10,9630,3.33%,11.64
midea-rsq2,九数_618_净水_类目内_高分段_美的品牌倾向_0619,外部导入人群,无线,京东直投,,,59421,314,0.53%,1641.98,27.63,5.23,4,4072,1.27%,2.48
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,59361,169,0.28%,180.18,3.04,1.07,-,-,-,-
midea-rsq2,九数618_燃热_类目_高分_美的品牌倾向_0619,外部导入人群,无线,京东直投,,,58104,475,0.82%,2255.4,38.82,4.75,7,8563,1.47%,3.8
midea-rsq2,【新】净水-浏览2500-4500竞品价位段,新标签人群,无线,京东快车(搜索),净水器-(X400S)MRC1686A-400_净水器_单投,搜索-(X400S)-APP,55622,4849,8.72%,37455.26,673.39,7.72,318,503022.9,6.56%,13.43
midea-rsq2,【新】净水-30天未浏览美的,新标签人群,无线,京东快车(搜索),净水器-J600_净水器_单投,搜索-APP,54561,5578,10.22%,43909.76,804.78,7.87,330,417456.15,5.92%,9.51
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,54473,421,0.77%,390.26,7.16,0.93,1,719,0.24%,1.84
midea-rsq2,九数618_燃热_类目_高分_无品牌倾向_0616,外部导入人群,无线,京东直投,,,54028,182,0.34%,946.32,17.52,5.2,6,7894,3.30%,8.34
midea-rsq2,电热-浏览2000-3000竞品价位段,新标签人群,无线,京东直投,,,53718,216,0.40%,1063.87,19.8,4.93,2,1498,0.93%,1.41
midea-rsq2,【新】拉新-DMP-净水跨品类拉新,新标签人群,无线,京东快车(搜索),净水器-J600_净水器_单投,搜索-APP,53341,4847,9.09%,30901.12,579.31,6.38,219,286603.15,4.52%,9.27
midea-rsq2,九数618_燃热_类目_高分_美的品牌倾向_0619,外部导入人群,无线,京东直投,,,49714,375,0.75%,1784.44,35.89,4.76,2,1329,0.53%,0.74
midea-rsq2,九数_618_电热_类目内_高分段_2k_2.5k,外部导入人群,无线,京东直投,,,48202,314,0.65%,177.6,3.68,0.57,-,-,-,-
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,47960,251,0.52%,487.4,10.16,1.94,2,2298,0.80%,4.71
midea-rsq2,九数618_燃热_类目_高分_1.5k_2k_0615,外部导入人群,无线,京东直投,,,43131,278,0.64%,1050.88,24.36,3.78,15,16756,5.40%,15.94
midea-rsq2,九数618_燃热_类目_高分_无品牌倾向_0616,外部导入人群,无线,京东直投,,,41866,235,0.56%,1033.71,24.69,4.4,1,799,0.43%,0.77
midea-rsq2,九数_20190606_净水器_618跨品_干预组,外部导入人群,无线,京东直投,,,41642,99,0.24%,151,3.63,1.53,-,-,-,-
midea-rsq2,【新】拉新-DMP-净水跨品类拉新,新标签人群,无线,京东直投,,,41508,268,0.65%,122.15,2.94,0.46,-,-,-,-
midea-rsq2,【新】饮水-30天未浏览美的,新标签人群,无线,京东直投,,,39843,457,1.15%,440.13,11.05,0.96,5,2819.8,1.09%,6.41
midea-rsq2,九数_618_饮水机_类目内_高分段_1.5k_3k,外部导入人群,无线,京东直投,,,39450,465,1.18%,1188.85,30.14,2.56,11,10070,2.37%,8.47
midea-rsq2,默认购买人群,京选人群,无线,京东快车(搜索),饮水-(JT100)JR1857S-NF_饮水机_单投,搜索-APP-区域,39415,1537,3.90%,4244.86,107.7,2.76,83,98377.8,5.40%,23.18
midea-rsq2,九数_618_净水器_类目内_高分段_无品牌倾向,外部导入人群,无线,京东直投,,,37980,395,1.04%,245.58,6.47,0.62,1,999,0.25%,4.07
midea-rsq2,九数618_燃热_类目_高分_美的品牌倾向_0619,外部导入人群,无线,京东直投,,,37591,281,0.75%,1292.68,34.39,4.6,-,-,-,-
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,36447,292,0.80%,652.09,17.89,2.23,1,1298,0.34%,1.99
midea-rsq2,九数_618_饮水_类目内_高分段_1.5k_3k_0606,外部导入人群,无线,京东直投,,,34627,393,1.13%,802.95,23.19,2.04,7,6991,1.78%,8.71
midea-rsq2,【新】净水-浏览2500-4500竞品价位段,新标签人群,PC,京东快车(搜索),净水器-J600_净水器_单投,搜索-电脑,33977,907,2.67%,4039.5,118.89,4.45,119,158647.4,13.12%,39.27
midea-rsq2,九数_618_饮水_类目内_高分段_1.5k_3k_0609,外部导入人群,无线,京东直投,,,33914,413,1.22%,888.75,26.21,2.15,9,9904,2.18%,11.14
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,33718,301,0.89%,485.88,14.41,1.61,11,13966,3.65%,28.74
midea-rsq2,九数618_燃热_类目_高分_美的品牌倾向_0615,外部导入人群,无线,京东直投,,,33600,345,1.03%,1158.65,34.48,3.36,25,29965,7.25%,25.86
midea-rsq2,九数618_燃热_类目_高分_1.5k_2k_0615,外部导入人群,无线,京东直投,,,33076,214,0.65%,866.53,26.2,4.05,7,5055.15,3.27%,5.83
midea-rsq2,九数618_燃热_类目_高分_美的品牌倾向_0619,外部导入人群,无线,京东直投,,,32790,221,0.67%,1075.65,32.8,4.87,-,-,-,-
midea-rsq2,九数618_净水_类目_高分_1.5k_2k_0616,外部导入人群,无线,京东快车(搜索),净水器-J600_净水器_单投,搜索-APP,31658,8025,25.35%,64360.58,2033,8.02,1202,1558920.3,14.98%,24.22
midea-rsq2,九数618_燃热_类目_高分_美的品牌倾向_0619,外部导入人群,无线,京东直投,,,31198,107,0.34%,418.6,13.42,3.91,2,2898,1.87%,6.92
midea-rsq2,九数618_燃热_类目_高分_1.5k_2k_0619,外部导入人群,无线,京东直投,,,31158,154,0.49%,648.34,20.81,4.21,2,2598,1.30%,4.01
midea-rsq2,九数618_净水_类目_高分_无品牌倾向_0616,外部导入人群,无线,京东直投,,,30912,156,0.50%,673.56,21.79,4.32,6,8933,3.85%,13.26
midea-rsq2,燃热-价位段-1699-2199竞品浏览,新标签人群,无线,京东直投,,,30829,140,0.45%,674.48,21.88,4.82,-,-,-,-
midea-rsq2,九数_618_饮水机_类目内_高分段_无品牌倾向,外部导入人群,无线,京东直投,,,30800,253,0.82%,297.51,9.66,1.18,-,-,-,-
midea-rsq2,【新】饮水-搜索-净饮,新标签人群,PC,京东快车(搜索),饮水-(JT100)JR1857S-NF_饮水机_单投,搜索-(JT100)-电脑,30663,290,0.95%,1460.64,47.64,5.04,12,19131,4.14%,13.1
midea-rsq2,九数_618_燃热_类目内_高分段_3k以上_0610,外部导入人群,无线,京东直投,,,30339,221,0.73%,739.72,24.38,3.35,6,11094,2.71%,15
midea-rsq2,九数618_燃热_类目_高分_1.5k_2k_0615,外部导入人群,无线,京东直投,,,30161,150,0.50%,668.71,22.17,4.46,4,4035,2.67%,6.03
midea-rsq2,【新】净水-浏览2500-4500竞品价位段,新标签人群,PC,京东快车(搜索),净水器-(X400S)MRC1686A-400_净水器_单投,搜索-(X400S)-电脑,28698,454,1.58%,2555.34,89.04,5.63,12,20047,2.64%,7.85
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,28672,122,0.43%,264.3,9.22,2.17,-,-,-,-
midea-rsq2,九数618_净水_类目_高分_美的品牌倾向_0616,外部导入人群,无线,京东直投,,,28463,269,0.95%,1066.13,37.46,3.96,12,12478.45,4.46%,11.7
midea-rsq2,燃热-价位段-1699-2199竞品浏览,新标签人群,无线,京东直投,,,27518,200,0.73%,832.6,30.26,4.16,6,6933,3.00%,8.33
midea-rsq2,九数618_燃热_类目_高分_1.5k_2k_0619,外部导入人群,无线,京东直投,,,27206,115,0.42%,604.68,22.23,5.26,3,2235,2.61%,3.7
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,26957,157,0.58%,412.08,15.29,2.62,6,5154.15,3.82%,12.51
midea-rsq2,九数_618_电热__类目内_高分段_无品牌倾向,外部导入人群,无线,京东直投,,,26950,258,0.96%,142.67,5.29,0.55,-,-,-,-
midea-rsq2,九数_618_饮水_类目内_高分段_无品牌倾向_0606,外部导入人群,无线,京东直投,,,26819,73,0.27%,139.51,5.2,1.91,1,1040,1.37%,7.45
midea-rsq2,净水-意向-行业30日浏览未购买,新标签人群,无线,京东快车(搜索),净水器-J600_净水器_单投,搜索-APP,26763,2863,10.70%,10813.65,404.05,3.78,319,416199.9,11.14%,38.49
midea-rsq2,【新】饮水-美的浏览,新标签人群,无线,京东直投,,,26356,331,1.26%,492.7,18.69,1.49,5,3779.4,1.51%,7.67
midea-rsq2,九数618_燃热_类目_高分_1.5k_2k_0619,外部导入人群,无线,京东直投,,,26258,130,0.50%,527.99,20.11,4.06,1,1999,0.77%,3.79
midea-rsq2,九数_20190603_饮水机_618跨品_干预组,外部导入人群,无线,京东直投,,,26245,86,0.33%,87.62,3.34,1.02,1,899,1.16%,10.26
midea-rsq2,燃热-价位段-1699-2199竞品浏览,新标签人群,无线,京东直投,,,26174,243,0.93%,972.03,37.14,4,5,6144,2.06%,6.32
midea-rsq2,九数618_燃热_类目_高分_美的品牌倾向_0615,外部导入人群,无线,京东直投,,,25828,253,0.98%,820.5,31.77,3.24,16,22632,6.32%,27.58
midea-rsq2,九数618_燃热_类目_高分_1.5k_2k_0619,外部导入人群,无线,京东直投,,,25772,84,0.33%,447.1,17.35,5.32,-,-,-,-
midea-rsq2,九数618_燃热_类目_高分_1.5k_2k_0616,外部导入人群,无线,京东直投,,,23987,90,0.38%,416.77,17.37,4.63,-,-,-,-
midea-rsq2,九数_618_净水器_类目内_高分段_2k_4k,外部导入人群,无线,京东直投,,,23443,309,1.32%,171.75,7.33,0.56,1,499,0.32%,2.91
midea-rsq2,九数618_燃热_类目_高分_美的品牌倾向_0616,外部导入人群,无线,京东直投,,,23001,203,0.88%,846.01,36.78,4.17,5,5995,2.46%,7.09
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,22834,167,0.73%,181.21,7.94,1.09,1,599,0.60%,3.31
midea-rsq2,九数618_电热_类目_高分_美的品牌倾向_0616,外部导入人群,无线,京东直投,,,21973,254,1.16%,884.2,40.24,3.48,19,19920,7.48%,22.53
midea-rsq2,【新】钻石会员+高级白领,新标签人群,无线,京东快车(搜索),饮水-(JT100)JR1857S-NF_饮水机_单投,搜索-APP-区域,21867,1123,5.14%,3387.73,154.92,3.02,52,58212.85,4.63%,17.18
midea-rsq2,九数_20190609_净水器_618跨品_干预组,外部导入人群,无线,京东直投,,,21745,81,0.37%,80.89,3.72,1,-,-,-,-
midea-rsq2,九数_618_燃热__类目内_高分段_无品牌倾向,外部导入人群,无线,京东直投,,,21284,163,0.77%,93.55,4.4,0.57,-,-,-,-
midea-rsq2,【新】饮水-1500以上竞品浏览-净饮,新标签人群,PC,京东快车(搜索),饮水-(JT100)JR1857S-NF_饮水机_单投,搜索-(JT100)-电脑,21260,394,1.85%,2169.94,102.07,5.51,14,20528,3.55%,9.46
midea-rsq2,电热-竞品浏览-海尔,新标签人群,无线,京东快车(搜索),电热-F6030-A7S_电热水器_单投,搜索-APP-正常,21093,2330,11.05%,13428.19,636.62,5.76,298,338160,12.79%,25.18
midea-rsq2,九数_618_燃热_类目内_高分段_无品牌倾向_0610,外部导入人群,无线,京东直投,,,21050,85,0.40%,141.06,6.7,1.66,-,-,-,-
midea-rsq2,九数_20190605_净水器_618跨品_干预组,外部导入人群,无线,京东直投,,,20773,57,0.27%,54.83,2.64,0.96,-,-,-,-
midea-rsq2,九数618_净水_类目_高分_无品牌倾向_0615,外部导入人群,无线,京东快车(搜索),净水器-J600_净水器_单投,搜索-APP,20762,3668,17.67%,33307.13,1604.24,9.08,431,549313.85,11.75%,16.49
midea-rsq2,九数_618_净水_类目内_高分段_无品牌倾向_0610,外部导入人群,无线,京东直投,,,20543,198,0.96%,735.65,35.81,3.72,15,24303,7.58%,33.04
midea-rsq2,九数_618_燃热_类目内_高分段_3k以上,外部导入人群,无线,京东直投,,,20096,276,1.37%,515.01,25.63,1.87,9,20791,3.26%,40.37
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,20077,100,0.50%,175.4,8.74,1.75,1,999,1.00%,5.7
midea-rsq2,九数_618_燃热_类目内_高分段_无品牌倾向_0610,外部导入人群,无线,京东直投,,,19840,161,0.81%,473.1,23.85,2.94,2,2448,1.24%,5.17
midea-rsq2,九数618_燃热_类目_高分_美的品牌倾向_0616,外部导入人群,无线,京东直投,,,19273,177,0.92%,736.92,38.24,4.16,8,12887,4.52%,17.49
midea-rsq2,九数618_燃热_类目_高分_1.5k_2k_0616,外部导入人群,无线,京东直投,,,19271,131,0.68%,549.51,28.51,4.19,4,6296,3.05%,11.46
midea-rsq2,默认浏览人群,京选人群,无线,京东快车(搜索),饮水-(JT100)JR1857S-NF_饮水机_单投,搜索-(JT100)-APP,19156,365,1.91%,718.31,37.5,1.97,15,17189.15,4.11%,23.93
midea-rsq2,九数618_燃热_类目_高分_1.5k_2k_0615,外部导入人群,无线,京东直投,,,18711,107,0.57%,391.52,20.92,3.66,-,-,-,-
midea-rsq2,九数618_净水_类目_高分_2k_4k_0616,外部导入人群,无线,京东快车(搜索),净水器-(X400S)MRC1686A-400_净水器_单投,搜索-(X400S)-APP,18690,2123,11.36%,24675.37,1320.24,11.62,174,301858.16,8.20%,12.23
midea-rsq2,九数_618_燃热_类目内_高分段_2.5k_3k,外部导入人群,无线,京东直投,,,18633,241,1.29%,458.28,24.6,1.9,7,15893,2.90%,34.68
